id,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19,item20,item21,item22,item23,item24,item25,item26,item27,item28,item29,item30,item31,item32,item33,item34,item35,item36,item37,item38,item39,item40,item41,item42,item43,item44,item45,item46,item47,item48,item49,item50,item51,item52,item53,item54,item55,item56,item57
1,1,1,2,2,1,1,3,1,1,2,3,3,1,3,4,2,2,2,1,5,2,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,2,1,1,3,2,1,5,1,1,1,2,4,2,1,3,2,2,2,3,4,3
2,3,3,3,3,1,1,3,1,1,3,3,3,1,1,4,2,2,1,1,5,3,1,1,3,1,2,1,2,3,2,4,2,2,1,1,4,3,1,1,3,1,1,4,1,1,2,1,4,5,1,3,2,4,3,3,4,4
3,2,3,3,3,2,2,2,3,1,3,3,3,2,2,4,3,3,3,3,5,4,2,2,3,2,3,4,3,3,2,3,2,2,1,2,3,5,2,3,3,2,3,4,2,2,1,2,3,2,1,2,2,4,3,3,3,4
4,1,2,2,2,1,1,3,1,1,1,1,1,1,1,4,2,3,1,1,1,2,1,1,1,1,2,2,2,3,1,1,2,1,1,1,3,4,1,4,3,1,1,5,1,1,1,1,3,4,1,1,2,4,3,3,4,4
5,3,4,4,3,3,3,4,4,3,4,3,4,2,1,3,2,3,3,4,3,5,4,3,3,4,3,4,4,3,4,3,4,4,1,3,3,5,3,3,3,3,3,2,3,3,3,3,5,5,3,3,3,2,2,3,3,3
6,3,3,4,4,2,5,3,4,2,3,2,3,3,3,5,3,1,4,4,2,4,4,4,4,4,3,4,4,3,3,5,5,4,4,3,3,4,4,4,5,4,4,2,4,4,4,4,4,2,4,4,4,2,2,2,4,4
7,1,2,4,3,3,4,5,2,1,3,5,5,3,3,5,5,5,3,3,5,4,5,1,3,1,1,1,2,3,1,5,5,4,4,5,5,4,1,1,5,1,1,1,5,5,1,5,5,1,4,3,1,5,5,3,5,5
8,4,5,4,4,2,3,3,3,3,4,5,4,4,5,5,4,4,4,4,5,5,2,4,4,3,2,4,3,5,1,5,5,3,4,5,2,4,3,1,5,4,2,5,1,1,4,5,4,5,1,2,5,5,5,3,5,5
9,5,5,2,4,2,5,4,5,4,4,5,3,2,4,5,5,1,1,2,1,2,5,5,5,3,3,5,3,1,1,5,5,5,4,5,5,5,1,5,3,5,5,5,1,1,1,4,5,1,1,1,2,5,5,1,5,5
10,3,3,3,3,2,2,3,4,1,1,5,2,2,4,5,4,4,3,2,5,5,3,3,4,3,2,2,3,5,1,5,3,2,2,5,4,5,1,5,2,5,1,5,1,1,1,3,4,3,2,3,2,4,3,2,4,5
11,2,3,3,3,1,2,2,2,1,4,3,3,3,5,5,3,1,2,2,4,3,3,4,4,4,3,4,5,1,4,5,4,4,4,5,2,1,1,2,5,5,4,4,1,1,4,3,4,2,1,1,4,3,3,4,5,4
12,2,3,2,2,3,3,2,1,4,5,2,4,3,5,3,3,4,2,2,3,2,3,3,2,2,2,2,3,4,1,2,2,1,1,1,1,3,5,1,1,5,4,5,1,1,1,1,1,5,1,2,1,4,4,1,5,5
13,2,3,2,2,2,3,3,4,1,5,2,4,4,4,5,5,5,4,1,1,5,4,5,3,1,2,4,4,4,4,5,4,3,2,5,3,2,1,5,5,5,1,5,1,1,3,2,3,1,1,2,4,3,3,4,4,4
14,1,3,4,4,1,1,4,3,1,4,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,4,2,2,2,1,2,2,2,1,3,3,3,1,1,5,1,1,2,1,1,3,2,2,2,3,4,3,5,5
15,2,3,1,1,3,4,3,5,1,1,3,1,1,1,5,1,5,4,3,2,4,3,4,3,3,1,3,3,3,2,5,3,2,3,4,3,2,3,5,5,5,3,5,1,1,2,2,4,3,1,1,3,3,3,2,5,5
16,4,4,4,4,4,5,5,5,3,5,3,4,4,5,5,4,5,5,5,1,5,4,5,4,4,5,5,4,4,3,4,4,4,4,5,5,1,1,4,5,5,5,5,1,1,4,5,3,5,1,1,3,5,5,5,5,5
17,2,3,2,2,3,5,1,4,1,3,3,5,4,5,5,5,1,3,5,2,5,5,5,5,5,5,5,1,5,5,5,3,5,5,5,2,1,3,5,5,5,5,3,4,4,5,5,5,1,3,3,5,5,5,5,5,5
18,2,3,3,3,2,3,1,3,1,4,3,4,3,3,5,3,5,4,3,3,4,5,5,3,4,5,5,5,1,3,5,5,5,5,5,5,3,5,5,5,5,3,5,1,1,5,5,5,3,1,1,5,5,5,3,5,5
19,2,3,2,2,1,1,3,4,1,2,1,3,4,4,3,4,4,3,3,1,5,5,5,4,3,2,4,5,1,4,4,5,2,2,5,5,2,4,2,5,5,3,1,1,1,5,4,5,1,2,1,3,2,2,2,5,4
20,4,4,3,3,1,2,5,1,1,3,2,4,4,5,4,5,1,1,1,1,5,5,3,3,3,1,1,1,3,5,5,4,1,3,5,3,3,5,5,1,1,3,3,3,5,1,3,5,5,3,1,1,5,5,5,5,5
21,4,4,3,4,4,4,4,4,3,3,4,4,4,5,5,4,4,4,4,2,5,4,4,3,3,4,4,4,4,3,4,4,4,3,4,3,3,4,5,4,4,4,5,1,2,3,3,2,1,1,1,2,4,4,3,5,5
22,4,4,4,4,4,4,4,3,4,4,4,5,4,5,5,4,2,5,5,1,4,4,5,3,4,4,4,5,2,2,5,5,4,4,5,1,4,4,5,5,4,4,5,2,2,3,4,4,1,1,1,2,4,4,4,5,5
23,3,1,1,1,1,1,1,1,1,1,5,3,5,5,4,3,2,1,1,5,5,5,3,1,1,1,3,4,3,4,3,5,5,5,5,3,5,3,5,5,3,3,3,3,3,5,5,5,1,3,3,3,3,3,3,3,5
24,3,3,3,4,3,3,4,5,3,4,3,4,3,3,4,5,3,3,3,2,5,3,4,4,4,3,4,5,2,3,3,3,5,3,5,1,3,3,5,3,4,4,3,3,3,4,5,4,2,5,3,3,3,3,3,3,3
25,3,2,3,3,4,5,5,5,3,4,5,3,2,1,5,1,3,5,3,1,2,5,3,4,2,1,3,2,5,4,3,4,3,1,1,5,5,3,5,3,3,3,3,3,3,4,3,2,3,3,4,3,3,2,3,2,4
26,5,3,3,4,5,5,3,4,3,4,5,5,4,4,3,3,3,4,4,2,5,4,4,3,3,5,5,5,2,4,5,5,3,4,3,2,3,3,4,5,3,3,3,5,5,4,3,3,2,4,4,3,3,3,3,3,2
27,3,2,3,4,3,3,2,2,3,2,4,3,3,3,4,2,4,4,4,2,4,2,2,3,4,3,2,3,5,4,2,3,4,2,4,3,2,3,2,4,3,2,3,3,2,4,4,3,3,1,2,2,3,3,3,4,4
28,4,3,2,1,3,4,2,3,3,4,3,4,3,4,2,3,2,3,4,3,3,3,2,4,4,3,4,5,3,2,4,3,2,4,3,4,4,3,3,2,3,4,3,3,4,2,3,4,3,2,4,3,2,4,2,4,4
29,3,3,2,1,3,4,4,3,1,3,4,5,3,2,3,2,2,3,2,2,3,4,2,4,2,3,4,2,3,4,3,2,3,4,3,3,2,3,4,1,3,4,2,3,2,3,3,4,3,2,3,4,3,2,3,2,4
30,4,3,3,4,3,4,2,5,3,3,4,2,1,4,3,5,3,3,4,4,3,4,3,2,3,4,5,3,4,3,4,3,2,3,3,2,2,3,4,3,2,3,2,5,3,2,3,3,4,4,5,3,4,2,3,4,3
31,3,3,2,3,4,4,3,2,2,3,4,3,2,3,2,4,1,2,3,2,3,4,3,2,3,4,3,2,3,4,3,2,4,3,4,3,4,3,4,3,2,4,3,5,3,3,3,4,3,3,4,3,2,3,2,3,4
32,3,3,2,4,3,3,2,4,3,2,3,4,5,3,2,3,2,5,2,3,3,4,3,3,2,3,4,3,4,4,4,3,2,3,3,2,3,4,3,4,3,3,4,4,3,3,3,4,3,4,3,3,2,3,2,3,2
33,3,2,1,3,3,4,3,2,3,4,3,4,3,2,3,2,3,3,4,3,3,4,3,3,4,3,4,2,3,4,3,3,4,3,4,3,3,4,2,3,4,3,3,2,3,5,4,3,4,3,4,3,3,4,2,3,4
34,4,4,3,3,2,3,4,3,4,3,2,2,3,2,3,2,3,3,4,2,3,4,4,4,3,2,3,3,4,4,3,2,3,3,2,2,4,3,4,3,2,3,3,4,3,2,3,4,4,3,4,2,3,2,3,4,2
35,4,3,3,2,2,3,1,4,3,4,4,3,3,4,3,3,4,3,4,3,4,4,5,4,4,3,4,3,3,4,3,4,3,4,3,2,3,2,3,4,3,4,3,3,4,3,3,4,3,3,2,3,2,3,2,3,4
36,4,4,3,4,4,4,4,3,4,4,5,5,4,5,5,4,3,5,5,2,5,4,4,3,4,3,4,4,2,5,5,5,4,4,5,2,3,4,5,4,4,5,4,2,2,4,4,2,1,1,2,2,4,4,4,5,5
37,3,3,3,2,3,4,1,2,3,3,4,4,3,4,5,4,3,1,3,3,1,3,3,4,3,2,4,3,2,2,3,4,2,4,4,3,2,1,5,4,4,2,4,2,2,2,3,3,1,1,1,2,3,3,3,5,5
38,4,3,3,2,2,2,2,4,2,5,1,5,4,3,3,4,1,1,1,1,2,2,5,2,2,1,1,2,1,2,2,3,3,4,5,3,5,1,5,5,5,1,5,1,1,5,2,2,1,1,1,5,4,3,3,5,5
39,2,2,4,3,3,3,5,4,3,3,5,5,4,3,3,4,5,4,2,2,4,5,5,1,3,3,2,3,5,3,5,1,1,3,4,3,4,5,5,5,3,3,3,2,3,3,4,5,1,2,3,4,1,2,2,1,1
40,1,2,1,4,4,4,3,3,5,4,2,4,4,4,5,5,1,3,3,1,5,5,5,4,4,3,5,2,5,1,1,5,5,5,5,4,4,2,5,3,5,3,3,1,1,2,3,3,1,1,1,5,3,5,4,5,5
41,2,3,3,3,2,3,4,1,2,3,4,3,3,3,4,3,4,3,1,4,5,4,3,3,3,3,3,2,3,2,3,3,3,3,5,3,3,3,3,3,2,2,3,3,3,3,3,3,2,2,2,4,4,3,3,4,4
42,3,4,4,4,2,5,5,1,3,5,5,5,5,5,5,5,3,3,5,1,3,5,5,3,3,3,5,3,2,5,5,5,5,5,5,3,5,3,5,5,5,3,3,3,3,1,3,3,1,3,3,5,3,3,3,3,3
43,4,4,3,3,3,1,3,3,3,3,3,3,3,3,4,1,2,3,4,1,3,1,3,2,2,2,3,3,3,3,3,3,3,1,5,5,3,3,5,1,1,1,4,2,1,2,3,5,1,1,5,1,3,1,3,1,1
44,5,1,1,1,1,5,4,3,1,1,1,1,1,1,5,5,5,1,1,1,5,5,5,2,3,3,5,5,1,5,4,3,1,5,1,5,1,5,5,5,1,1,5,1,1,3,3,3,4,3,4,3,3,3,5,5,9
45,2,1,4,3,2,1,3,2,3,1,2,3,3,2,3,3,3,3,1,5,2,1,2,1,1,1,1,1,5,4,5,4,3,1,5,4,4,1,1,1,1,1,5,1,1,1,5,3,1,1,1,1,5,5,5,5,5
46,4,5,1,1,1,5,1,1,1,3,3,3,4,5,5,2,4,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,5,5,5,1,1,1,5,1,1,1,1,5,1,1,4,5,5,5,5,5,5
47,4,4,4,4,3,4,3,5,2,2,5,3,2,1,5,4,2,2,1,5,1,2,2,1,1,1,1,4,1,5,5,4,4,3,5,3,5,5,5,4,4,2,4,2,3,4,3,4,1,3,2,5,3,3,4,3,4
48,4,4,4,4,4,5,5,4,3,3,3,3,3,3,3,5,1,5,5,3,5,5,5,5,3,5,4,3,2,4,5,5,3,5,5,3,5,5,3,4,3,5,5,1,1,5,5,4,1,3,3,5,3,3,3,5,5
49,4,4,4,4,4,5,5,4,3,3,3,3,3,3,3,5,1,5,5,3,5,5,5,5,3,5,4,3,2,4,5,5,3,5,5,3,5,5,3,4,3,5,5,1,1,5,5,4,1,3,3,5,3,3,3,5,5
50,4,4,3,3,5,5,4,4,4,5,5,4,5,5,5,4,5,5,5,1,5,5,5,3,5,3,5,5,1,5,5,5,5,5,5,3,3,3,3,5,5,5,1,3,3,5,5,4,5,3,3,3,3,3,2,5,5
51,3,3,2,1,1,5,3,4,4,3,4,5,3,4,5,5,2,5,4,2,5,5,5,3,5,5,5,3,1,4,5,4,5,5,4,2,4,1,3,5,4,4,5,1,2,4,5,4,1,1,3,5,3,3,4,5,5
52,4,4,4,4,5,4,5,5,4,4,5,3,3,3,4,5,3,5,3,3,4,5,5,5,3,3,5,5,1,5,5,5,3,4,5,3,5,5,5,5,3,3,2,3,3,2,3,3,1,3,3,2,3,4,2,3,3
53,4,4,4,4,5,5,5,5,3,5,5,5,4,5,5,5,1,4,3,2,4,3,3,3,3,4,3,3,3,3,5,3,3,3,5,4,3,1,3,5,5,3,3,1,1,3,3,3,1,1,1,5,3,1,3,5,5
54,4,3,3,4,2,5,5,5,4,4,5,4,3,4,3,3,3,4,4,3,5,4,5,3,5,4,4,4,4,3,5,5,4,4,5,1,5,5,5,5,5,5,5,1,1,4,5,5,1,1,3,5,5,4,3,3,3
55,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,4,5,5,5,5,2,5,2,3,4,2,3,2,3,3,2,4,5,5,5,4,4,4,5,1,1,3,5,1,3,1,3,4,3,3,3,4,4
56,5,5,4,4,2,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,4,5,4,5,1,5,5,4,5,5,5,5,5,5,5,5,5,5,1,1,1,5,4,1,1,2,2,4,2,4,5,5
57,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,4,5,5,5,5,5,4,5,3,2,5,4,1,2,1,5,5,3,3,5,5,5,5,5,5,5,5,5,1,1,2,5,3,1,1,2,4,5,5,5,5,5
58,2,4,4,4,5,5,5,5,3,5,5,5,5,5,5,5,1,5,5,3,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,4,5,5,5,5,5,4,1,1,5,5,3,5,5,5,5,1,1,1,5,5
59,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,1,5,5,5,5,1,1,1,5,5
60,4,4,5,5,5,5,5,5,3,5,5,3,4,5,5,5,1,5,5,5,5,5,4,5,5,5,5,5,1,5,5,5,5,5,5,5,3,5,5,5,4,4,5,1,1,5,5,4,2,5,5,5,1,1,1,5,5
61,4,4,4,5,5,5,5,5,3,5,5,5,5,5,5,4,3,5,5,2,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,5,5,5,5,5,5,2,5,5,5,3,2,3,3,3,3,3,1,5,5
62,5,5,5,5,5,4,5,5,4,4,5,5,4,5,5,4,3,5,5,4,5,4,4,3,4,5,5,5,1,5,5,5,5,5,5,1,3,5,5,5,5,5,3,3,4,5,5,3,4,4,4,5,2,2,2,3,3
63,4,5,3,2,4,4,4,4,4,4,4,4,3,3,3,3,3,5,5,5,5,5,5,4,4,5,5,4,2,4,4,4,4,3,5,3,3,3,3,3,3,5,3,3,3,5,5,5,1,3,3,3,3,3,3,3,3
64,5,5,3,4,4,4,5,5,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,1,5,1,1,5,5,5,5,5,5
65,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,5,3,1,1,4,5,5,5,3,5,5,5,5
66,4,4,5,5,5,5,4,5,4,5,5,5,4,5,5,4,5,5,5,5,5,5,4,3,5,5,5,3,5,4,5,4,5,5,5,5,5,5,5,5,4,4,5,1,3,5,5,4,3,1,3,3,4,4,4,5,5
67,5,5,5,5,5,5,5,5,4,5,5,5,3,4,5,5,5,5,5,5,5,5,3,3,5,5,4,4,4,4,5,5,5,5,5,4,5,5,5,5,5,5,4,2,4,4,5,4,2,2,3,3,3,3,4,4,4
68,4,5,4,4,4,5,5,4,4,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,5,5,3,3,1,2,4,4,4,4,5,5
69,3,4,5,4,4,4,3,3,3,4,5,3,3,3,5,5,3,3,3,4,5,3,5,1,3,3,3,3,3,3,3,3,3,3,3,3,5,3,5,3,3,3,5,1,1,2,2,2,1,1,2,5,4,4,4,5,5
70,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,1,1,5,5,4,1,1,2,4,1,4,4,5,5
71,4,4,4,4,4,5,5,5,4,4,5,5,5,5,5,5,5,5,4,4,5,5,5,3,5,3,4,4,4,4,4,5,5,5,5,4,5,4,4,5,5,5,4,2,3,3,3,3,3,2,3,3,3,3,3,1,3
72,4,4,3,4,3,3,1,4,3,3,5,5,1,1,5,1,5,5,1,3,5,5,1,1,1,2,5,5,5,1,5,5,5,4,5,5,5,1,1,5,3,5,5,1,1,5,5,3,3,1,3,5,5,5,5,5,5
73,4,4,4,4,4,4,5,5,4,4,5,5,5,4,5,5,4,5,5,1,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,1,4,4,5,5,5,5,1,2,1,2,5,5,1,2,3,3,3,3,3,3,3
74,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,3,5,5,5,5,5,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,1,2,5,5,5,1,2,2,3,4,5,5,5,5
75,4,5,5,5,4,4,5,5,4,5,4,4,3,4,4,3,5,4,5,4,5,5,5,4,2,4,2,4,4,2,5,4,2,3,5,3,5,3,5,5,4,4,5,2,2,3,4,3,2,1,2,3,4,4,4,5,5
76,4,5,5,5,5,5,5,5,4,5,5,4,4,5,2,3,4,4,4,3,5,5,5,4,3,3,4,4,4,2,5,5,3,2,5,4,5,5,5,5,5,5,4,2,2,3,5,4,2,1,2,4,4,4,4,4,4
77,5,5,5,5,5,4,5,4,5,5,4,4,3,5,5,4,4,5,4,4,5,5,5,4,2,3,3,3,5,3,5,4,3,2,5,4,5,5,5,5,5,4,5,1,2,4,5,3,3,1,2,2,4,4,4,5,5
78,4,5,5,5,4,5,5,5,4,5,5,5,4,4,3,4,4,4,4,3,5,5,5,5,4,4,3,4,4,2,5,4,3,3,4,4,5,5,5,5,5,4,4,2,3,4,5,3,2,2,3,4,4,4,4,4,5
79,5,5,5,5,4,4,5,4,5,5,4,5,2,4,4,2,3,4,4,3,5,5,5,4,3,2,4,4,5,2,5,4,3,5,5,4,5,5,5,5,5,4,5,1,1,2,4,3,1,1,2,3,4,4,4,5,5
80,5,5,5,5,4,5,5,5,5,5,5,3,3,3,5,3,5,5,4,4,5,5,5,5,2,4,4,4,4,3,5,4,4,4,4,4,5,5,5,5,5,4,5,1,2,3,4,3,2,1,2,2,4,4,4,4,4
81,4,5,5,5,5,5,5,5,5,5,5,4,3,5,5,4,5,5,4,4,5,5,5,4,4,3,3,3,4,2,5,3,3,3,5,4,5,5,5,5,5,4,4,2,3,2,4,4,3,2,2,4,5,5,5,5,5
82,4,5,4,4,5,4,5,4,4,4,5,4,3,5,5,4,4,5,4,3,5,5,5,4,3,4,4,4,5,3,5,4,3,3,4,4,5,5,5,5,5,5,5,1,1,4,4,5,2,1,2,5,4,4,4,4,4
83,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,4,5,5,4,5,5,5,5,5,3,3,4,4,5,4,5,4,4,3,5,3,5,5,5,5,4,4,5,2,3,3,4,4,3,2,3,5,4,4,5,5,5
84,4,5,5,5,4,5,4,5,4,5,5,4,3,5,5,4,5,5,5,4,5,5,5,5,3,2,4,3,5,3,5,4,4,4,5,4,5,5,5,5,5,4,5,1,1,2,3,3,3,2,2,3,4,4,4,5,5
85,4,4,5,5,4,5,5,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,3,4,2,2,3,2,5,4,2,3,5,3,5,5,5,5,5,3,5,2,2,3,4,5,2,2,3,5,4,4,4,4,4
86,4,5,5,5,5,5,5,5,4,5,4,4,4,5,2,3,4,4,4,4,5,5,5,4,4,4,4,3,5,4,5,4,3,3,4,3,5,5,5,5,5,4,4,2,3,3,4,3,3,2,2,5,4,3,5,5,5
87,4,5,5,5,4,4,5,5,4,5,5,4,4,5,5,3,5,5,5,4,5,5,5,5,5,5,5,4,5,4,5,4,5,5,5,2,2,5,5,5,5,4,5,1,1,2,4,4,2,1,2,5,5,5,5,5,5
88,4,4,4,4,4,4,5,4,4,4,5,4,3,5,5,4,5,4,3,3,5,5,5,4,3,4,5,5,5,4,5,5,5,4,5,4,5,5,5,5,5,4,5,2,3,4,4,4,2,1,1,4,4,4,4,5,5
89,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,5,3,4,5,5,5,2,5,4,3,3,4,4,5,5,5,5,5,4,4,2,2,4,4,4,3,1,1,4,4,4,5,5,5
90,4,5,4,5,5,5,4,5,4,5,5,4,5,5,5,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,5,4,4,4,5,3,5,5,5,5,4,5,4,2,2,4,4,4,2,2,2,2,4,4,4,4,4
91,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,4,5,5,5,5,5,5,5,4,5,1,2,4,5,4,4,4,1,3,5,5,5,5,5,2,1,2,2,4,5,2,2,3,5,5,4,4,4,5
92,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,3,5,5,5,4,3,3,4,4,5,3,5,5,5,4,5,4,5,5,5,5,5,4,4,3,3,3,4,5,2,1,2,4,4,4,5,4,5
93,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,3,5,5,5,4,3,3,3,4,3,3,4,5,4,5,3,3,5,5,3,3,3,3,3,3,3,3,2,4,1,5,2,3,1,1,5,5
94,4,4,5,5,3,5,5,3,4,5,5,4,5,4,5,4,5,5,5,5,5,5,3,3,5,5,5,5,4,5,5,5,5,5,5,1,5,1,5,5,5,4,5,1,3,4,5,4,1,1,3,5,3,3,3,5,5
95,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,3,3,5,5,5,5,5,5,4,4,5,1,2,5,5,2,4,1,2,4,4,4,4,4,4
96,5,5,5,5,5,5,5,5,5,5,5,4,3,5,3,3,5,5,5,5,5,5,5,4,4,5,5,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,1,2,5,5,2,1,2,3,5,4,4,5,5,5
97,5,5,5,5,5,5,5,5,5,5,5,4,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,5,5,4,5,5,5,4,5,5,5,5,5,5,4,2,4,5,5,5,1,2,2,3,4,4,4,5,5
98,4,4,3,4,4,4,5,5,5,4,4,5,4,3,5,5,5,3,5,5,5,5,5,4,3,5,3,4,4,4,5,4,3,4,5,5,3,4,5,3,3,4,3,2,4,4,3,3,1,2,3,5,4,4,4,4,4
99,5,5,5,4,5,5,5,5,5,5,5,4,4,4,5,5,2,4,4,4,5,4,5,3,3,3,4,5,1,5,5,3,4,4,5,1,3,3,3,4,3,3,1,3,3,4,4,5,1,2,2,5,4,3,5,5,5
100,4,5,1,1,1,5,1,1,1,3,3,3,4,5,5,2,4,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,5,5,5,1,1,1,5,1,1,1,1,5,1,1,4,5,5,5,5,5,5
